COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-f68f470b.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-08daf90a.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-409dcd7b.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-d5c49263.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-0c5d14e4.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-a02e9d18.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-f4f41ec0.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-7777885a.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-dd2d01e4.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-847a39e9.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-3797286a.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-3bee897c.cif

